,param_name,mean,std,2.5q,25q,50q,75q,97.5q,mc err,sub,model_ID
1918,v_Intercept,0.1517080387238318,0.0976946722062165,-0.0414235938240153,0.0855886275648078,0.1517268339604474,0.2191521193049607,0.3406018617130396,0.0024775079126583,36,3
1919,v_gain_plus_loss,0.1157081749517569,0.0101621931295487,0.0959754461832698,0.1087829244815175,0.115684194299227,0.1225399338852266,0.1357613571606684,0.000125937890734,36,3
1920,BIC,683.1131652504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3
1921,a,1.3220402632991308,0.1019312946678211,1.13567839986313,1.2505549577569406,1.317200643587391,1.387725261282614,1.5331464980557268,0.0043942376218605,16,2
1922,z,0.4703252966120659,0.0229454485043192,0.4265235777623831,0.4544557392594756,0.469906787888925,0.4858869196997298,0.5167075759250656,0.0003845770296114,16,2
1923,t,0.6787510321964821,0.036254406987782,0.5987694595247038,0.6565653266514941,0.6811128395754471,0.7044596885940613,0.7410543324612942,0.0013985822158019,16,2
1924,theta,0.2652041128936564,0.0656369690497285,0.1342247161442174,0.2208788992221526,0.2665287290345719,0.3095983197159053,0.3896847385471736,0.0026159464042449,16,2
1925,v_gain,0.1455011339261864,0.0130631843225855,0.1204837410538091,0.1366998620078401,0.1451962741106612,0.1539552490095456,0.1724570790556645,0.0005196068265535,16,2
1926,v_loss,-0.1476407927553024,0.0137948708257008,-0.1764113049379982,-0.1565092632004503,-0.1470519407577906,-0.1383993114429592,-0.1215431304012027,0.0005271545736274,16,2
1927,BIC,598.7833478725131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2
1928,a,2.0442942858064,0.2625682130768585,1.6311115150462114,1.8588612181638704,2.001399970060814,2.188752192991905,2.664127220440964,0.0162082511186456,1,2
1929,z,0.5627408983219041,0.0294007206638483,0.504659657910117,0.5425363951819333,0.5624494835153568,0.5829044697193839,0.6195538418564338,0.0011202641450906,1,2
1930,t,0.6995473525178253,0.0554264314383111,0.5709821283595353,0.6667321110382461,0.7077162798544496,0.7391971825963483,0.7862762762782577,0.0031594116426308,1,2
1931,theta,0.6685439181408304,0.1119858244654388,0.4694814896800425,0.5890996300445508,0.6612876249502418,0.7377522981886083,0.9082558537587484,0.0064056567276326,1,2
1932,v_gain,0.0824711121730035,0.0039031297887216,0.072966485409345,0.0802751511498781,0.0831458507560524,0.0853381163279649,0.088194088572755,0.0001284709302489,1,2
1933,v_loss,-0.0906662365537059,0.0116981915464626,-0.1138978686040005,-0.0984516005304377,-0.0904946823863352,-0.0828173189626852,-0.067643877502932,0.0004981076449482,1,2
1934,BIC,375.2717511928256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
1935,a,2.234982217249294,0.2477190842763711,1.839719590941287,2.0591394285404063,2.202421585550503,2.3754703569030258,2.816120064195527,0.015529775609559,81,3
1936,z,0.5278975547245881,0.0210915057532598,0.487149096561123,0.5138957266336542,0.5278299563993306,0.5418771172243327,0.5697233474311073,0.0004901086774764,81,3
1937,t,0.5993203453859701,0.071503107418791,0.4325489706698102,0.5577024333100606,0.608550940728225,0.6500530835751814,0.7158619977966831,0.0042132496126864,81,3
1938,theta,0.5479342906022807,0.0703815633707891,0.4132841489293071,0.5000353403755773,0.5455922310052258,0.5937985881674086,0.6915703835564152,0.0042158533942076,81,3
1939,v_Intercept,-1.5478464169788648,0.1177405448338549,-1.7246514305265523,-1.6379084198255858,-1.5646696946747098,-1.4766840159732937,-1.274478136541931,0.0037860630245704,81,3
1940,v_gain_plus_loss,0.1217994021576792,0.0061375629567057,0.1075999149734192,0.1181285024957548,0.1227369370164342,0.1263912518668163,0.1311731151244191,0.0001775299471937,81,3
1941,BIC,546.5710675990756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,3
1942,a,1.1624951750087205,0.0463983539908561,1.075598574294249,1.1299871276604283,1.1613106301962446,1.1934392288109723,1.256854822210437,0.0009807712314472,52,4
1943,z,0.5767870502971714,0.0232912795780354,0.5294452984612102,0.5613653764293471,0.5771522723748523,0.5925097405041518,0.6223045160594092,0.0008558935249201,52,4
1944,t,0.7498009546727701,0.0204453004381024,0.7072944679895478,0.7365165749522007,0.7507537998943283,0.7636772508727866,0.7877175084404984,0.000486101114512,52,4
1945,v_Intercept,0.705536180277455,0.2560200632139321,0.1901639315581297,0.5518942013909856,0.7128437682565733,0.865953785769583,1.20351522890496,0.0231437502232161,52,4
1946,v_gain,0.1632825791378821,0.0113215546217955,0.1408273257358081,0.1559655410450349,0.1633391756532787,0.1703419699265759,0.186137033228966,0.0010146238764269,52,4
1947,v_loss,-0.2017992500141082,0.0105112760506816,-0.2217794250764888,-0.2091731724302188,-0.2021323844577625,-0.1947423626467415,-0.1803802475694932,0.0006689753822667,52,4
